Region,Population,ADM1_PCODE
Beijing,2184,CN011
Tianjin,1363,CN012
Hebei,7420,CN013
Shanxi,3481,CN014
Inner Mongolia,2401,CN015
Liaoning,4197,CN021
Jilin,2348,CN022
Heilongjiang,3099,CN023
Shanghai,2475,CN031
Jiangsu,8515,CN032
Zhejiang,6577,CN033
Anhui,6127,CN034
Fujian,4188,CN035
Jiangxi,4528,CN036
Shandong,10163,CN037
Henan,9872,CN041
Hubei,5844,CN042
Hunan,6604,CN043
Guangdong,12657,CN044
Guangxi,5047,CN045
Hainan,1027,CN046
Chongqing,3213,CN050
Sichuan,8374,CN051
Guizhou,3856,CN052
Yunnan,4693,CN053
Tibet,364,CN054
Shaanxi,3956,CN061
Gansu,2492,CN062
Qinghai,595,CN063
Ningxia,728,CN064
Xinjiang,2587,CN065
